Policy_ID,Customer_Age,Gender,Policy_Type,Annual_Income,Claim_History,Fraudulent_Claim,Premium_Amount,Claim_Amount,Risk_Score
POL000107,48,F,Home,102129,0,0,932.03,0.0,Low
POL000108,65,F,Home,80821,0,0,1055.41,0.0,Low
POL000109,32,F,Home,44358,0,0,879.23,0.0,Low
POL000110,25,M,Home,46846,0,0,1096.55,0.0,Medium
POL000111,31,F,Life,67803,0,0,917.17,0.0,Medium
POL000112,40,F,Auto,34491,0,0,1154.53,0.0,Low
POL000113,77,F,Auto,40378,0,0,1562.59,0.0,Medium
POL000114,74,M,Auto,53492,0,0,1533.19,0.0,Medium
POL000115,79,F,Auto,30964,0,0,1744.48,0.0,Medium
POL000116,57,M,Auto,47706,0,0,1023.58,0.0,Low
POL000117,38,F,Health,35012,3,0,3791.89,19265.45,High
POL000118,33,M,Home,122161,0,0,1045.71,0.0,Low
POL000119,62,M,Travel,48936,0,0,385.89,0.0,Low
POL000120,35,M,Auto,37294,0,0,1098.96,0.0,Medium
POL000121,64,F,Auto,83886,1,0,1272.23,2955.54,Low
POL000122,70,F,Travel,43728,0,0,566.87,0.0,Medium
POL000123,41,M,Health,34501,3,0,3153.14,11842.31,High
POL000124,43,F,Home,93317,0,0,1019.15,0.0,Low
POL000125,42,M,Home,50941,0,0,942.05,0.0,Low
POL000126,77,M,Health,91172,4,0,4833.79,12787.82,High
POL000127,77,F,Home,59425,0,0,1302.24,0.0,Medium
POL000128,77,F,Auto,63869,3,0,2531.99,2907.03,High
POL000129,62,F,Health,79347,2,0,3365.14,13387.6,Medium
POL000130,58,M,Home,43590,3,0,1575.55,15457.78,High
POL000131,46,M,Auto,39930,1,0,1421.68,5126.71,Medium
POL000132,32,F,Home,109198,0,0,1059.31,0.0,Low
POL000133,62,M,Home,79974,0,0,979.72,0.0,Low
POL000134,18,F,Life,57887,0,0,1353.35,0.0,Medium
POL000135,42,M,Auto,89129,4,0,1921.12,9510.15,High
POL000136,24,F,Life,78439,0,0,1218.64,0.0,Medium
POL000137,26,F,Home,95956,0,0,1007.49,0.0,Low
POL000138,41,M,Home,33812,1,0,1086.59,6143.67,Medium
POL000139,18,F,Auto,57983,0,0,1654.87,0.0,Medium
POL000140,61,F,Health,105335,1,0,2507.43,14451.54,Medium
POL000141,25,M,Life,138498,2,0,1108.07,26759.19,High
POL000142,41,F,Auto,45799,0,0,1124.14,0.0,Low
POL000143,80,M,Auto,64833,1,0,1734.37,10602.47,High
POL000144,28,F,Home,60455,1,0,1294.88,10769.27,Medium
POL000145,68,M,Health,32141,1,0,3812.0,7656.08,High
POL000146,34,F,Auto,51855,0,0,1054.95,0.0,Medium
POL000147,25,F,Home,27191,0,0,1089.88,0.0,Medium
POL000148,52,F,Home,55068,0,0,926.84,0.0,Low
POL000149,52,F,Auto,35631,1,0,1401.82,7035.3,Medium
POL000150,50,M,Home,65183,0,0,1002.99,0.0,Low
POL000151,76,M,Auto,51279,0,0,1437.42,0.0,Medium
POL000152,22,M,Health,50873,0,0,3317.74,0.0,Medium
POL000153,59,M,Home,130184,0,0,913.38,0.0,Low
POL000154,56,M,Home,62031,0,0,879.2,0.0,Low
POL000155,75,M,Auto,153140,0,0,1454.99,0.0,Low
POL000156,58,M,Auto,74845,1,0,1585.88,2560.09,Low
POL000157,45,F,Health,90019,1,0,2790.55,15920.92,Low
POL000158,24,F,Home,38763,0,0,1663.75,0.0,High
POL000159,26,F,Home,42326,1,0,1166.97,7830.49,Medium
POL000160,25,F,Home,60393,0,0,1049.97,0.0,Low
POL000161,29,M,Home,109813,2,0,1165.98,8885.36,Medium
POL000162,51,M,Auto,49937,0,0,1118.93,0.0,Low
POL000163,50,M,Auto,29268,2,0,1564.89,4861.79,High
POL000164,65,F,Auto,73056,0,0,1337.21,0.0,Medium
POL000165,72,M,Health,61820,0,0,2804.32,0.0,Medium
POL000166,40,F,Auto,45455,1,0,1382.86,3264.84,Low
POL000167,79,M,Auto,49685,0,0,1349.87,0.0,Medium
POL000168,41,M,Health,38733,1,0,2837.76,7184.68,Medium
POL000169,54,M,Auto,95030,0,0,1246.39,0.0,Low
POL000170,52,M,Home,60576,0,0,1073.42,0.0,Low
POL000171,61,F,Auto,67524,1,0,1230.35,10653.22,Medium
POL000172,57,F,Auto,44435,0,0,1079.97,0.0,Low
POL000173,39,M,Home,116787,0,0,991.02,0.0,Low
POL000174,44,F,Auto,66862,2,0,1793.08,18670.85,Medium
POL000175,52,M,Health,20525,2,0,3109.65,14504.62,High
POL000176,18,M,Home,75356,1,0,1687.5,8179.95,High
POL000177,52,M,Auto,52461,1,0,1352.03,2116.76,Medium
POL000178,54,M,Auto,55161,4,0,1678.48,1459.25,High
POL000179,64,F,Home,98404,1,0,1244.59,2595.91,Medium
POL000180,31,M,Auto,62585,2,0,1444.45,7249.19,High
POL000181,20,M,Auto,140951,0,0,1909.98,0.0,Medium
POL000182,18,F,Home,63120,1,0,1712.11,2308.6,High
POL000183,22,M,Health,47414,0,0,3875.75,0.0,Medium
POL000184,43,F,Home,24181,1,0,996.12,12683.5,Medium
POL000185,72,M,Health,41817,1,0,4174.75,5566.6,High
POL000186,80,M,Life,50964,0,0,960.08,0.0,Medium
POL000187,31,M,Auto,124634,1,0,1450.42,5591.05,Medium
POL000188,56,M,Health,47558,2,0,3540.57,9020.92,High
POL000189,44,M,Health,136081,2,0,3289.04,5711.37,Medium
POL000190,26,M,Auto,33719,0,0,1141.44,0.0,Medium
POL000191,32,F,Travel,40691,1,0,525.95,758.83,Medium
POL000192,32,M,Auto,105186,0,0,1120.24,0.0,Low
POL000193,43,F,Auto,44464,1,0,1565.75,1496.65,Low
POL000194,59,F,Health,103737,0,0,2242.17,0.0,Low
POL000195,77,M,Home,39610,0,0,1256.8,0.0,Medium
POL000196,30,F,Auto,41645,0,0,1069.86,0.0,Medium
POL000197,68,M,Auto,82530,0,0,1327.05,0.0,Low
POL000198,80,F,Health,39888,1,0,3468.69,5626.42,High
POL000199,49,M,Health,52197,0,0,2190.41,0.0,Low
POL000200,56,F,Home,72939,1,0,1317.79,37947.1,Low
POL000201,66,F,Travel,52769,5,0,981.43,4982.77,High
POL000202,69,M,Auto,45193,1,0,1526.89,5678.82,High
POL000203,78,F,Auto,32741,0,0,1430.67,0.0,High
POL000204,49,M,Health,123582,0,0,2627.59,0.0,Low
POL000205,21,M,Health,135680,0,0,3635.87,0.0,Medium
POL000206,47,M,Auto,70591,0,0,1319.46,0.0,Low
POL000207,54,M,Auto,53313,2,0,1562.27,3868.85,Medium
POL000208,40,M,Health,54798,0,0,2615.24,0.0,Low
POL000209,56,F,Travel,90771,2,0,535.14,1326.45,Medium
POL000210,62,F,Home,100296,0,0,1041.45,0.0,Low
POL000211,32,F,Auto,45703,0,0,1102.84,0.0,Low
POL000212,60,M,Travel,102467,0,0,384.79,0.0,Low
POL000213,46,F,Life,81433,1,0,795.97,26995.92,Low
POL000214,53,F,Home,101581,0,0,1026.29,0.0,Low
POL000215,30,F,Health,26879,0,0,2469.44,0.0,Medium
POL000216,49,F,Health,48552,1,0,3099.87,8047.28,Low
POL000217,24,F,Life,54915,3,0,1586.73,16686.3,High
POL000218,76,M,Health,47359,0,0,3188.39,0.0,Medium
POL000219,68,M,Home,156163,0,0,1175.49,0.0,Low
POL000220,39,F,Home,48779,0,0,1034.19,0.0,Medium
POL000221,45,M,Home,75674,1,0,1270.07,11247.28,Medium
POL000222,19,M,Home,64629,1,0,1862.37,3946.63,High
POL000223,59,F,Health,51786,2,0,3683.09,2113.98,Medium
POL000224,62,F,Travel,42010,0,0,456.61,0.0,Low
POL000225,79,M,Home,167363,0,0,1406.09,0.0,Medium
POL000226,74,F,Home,53587,0,0,1216.85,0.0,Medium
POL000227,70,M,Home,92761,1,0,1369.09,5312.07,Medium
POL000228,23,M,Health,59585,0,0,3690.99,0.0,Medium
POL000229,45,F,Home,47602,5,0,2009.29,22105.41,High
POL000230,45,M,Auto,63205,0,0,1168.56,0.0,Low
POL000231,61,M,Home,69846,0,0,909.72,0.0,Low
POL000232,61,M,Auto,47344,0,0,1359.96,0.0,Low
POL000233,37,F,Auto,40851,0,0,1158.93,0.0,Medium
POL000234,47,F,Health,75969,1,0,3039.65,3838.58,Medium
POL000235,79,F,Auto,63461,0,0,1694.86,0.0,Medium
POL000236,28,F,Auto,43216,0,0,1323.54,0.0,Low
POL000237,75,M,Auto,37450,0,0,1710.36,0.0,High
POL000238,72,F,Auto,71299,1,0,1974.97,2101.33,Medium
POL000239,45,F,Health,22947,1,0,3019.6,7685.36,Medium
POL000240,42,F,Home,52559,0,0,971.15,0.0,Low
POL000241,56,F,Life,64057,1,0,966.17,8169.08,Low
POL000242,79,M,Auto,142748,0,0,1717.59,0.0,Low
POL000243,50,M,Auto,60188,1,0,1318.17,14323.93,Medium
POL000244,18,M,Auto,51503,1,0,1943.63,5354.35,High
POL000245,74,F,Health,69028,0,0,3097.61,0.0,Low
POL000246,44,F,Home,41845,1,0,1167.69,2303.62,Medium
POL000247,79,M,Life,53665,0,0,900.36,0.0,Medium
POL000248,74,F,Home,60757,0,0,1408.8,0.0,Medium
POL000249,69,F,Home,82023,0,0,1159.15,0.0,Low
POL000250,30,M,Health,42766,0,0,2224.63,0.0,Low
POL000251,58,M,Life,59703,1,0,836.55,22857.28,Medium
POL000252,20,F,Auto,24452,0,0,1841.54,0.0,Medium
POL000253,56,F,Auto,77523,1,0,1291.23,4864.65,Low
POL000254,23,F,Home,53358,0,0,1440.64,0.0,Medium
POL000255,25,M,Home,153607,0,0,1129.49,0.0,Low
POL000256,44,M,Travel,71372,0,0,441.66,0.0,Low
POL000257,26,M,Home,38812,0,0,1105.66,0.0,Medium
POL000258,79,M,Auto,34653,4,0,2554.14,4222.91,High
POL000259,54,F,Travel,83353,0,0,443.98,0.0,Low
POL000260,50,M,Health,147004,0,0,2708.92,0.0,Low
POL000261,68,M,Auto,126131,2,0,2303.75,4452.95,High
POL000262,59,F,Life,32651,0,0,695.45,0.0,Low
POL000263,61,F,Auto,66280,0,0,1030.34,0.0,Low
POL000264,41,F,Auto,105188,0,0,1083.01,0.0,Low
POL000265,32,M,Life,30620,2,0,1173.87,22837.29,High
POL000266,76,F,Home,100577,1,0,1542.35,9937.57,Medium
POL000267,71,F,Auto,42133,1,0,1754.23,6493.62,Medium
POL000268,49,M,Auto,53758,1,0,1385.26,1753.36,Medium
POL000269,49,M,Health,68755,1,0,3159.28,12516.29,Medium
POL000270,41,F,Auto,102145,1,0,1557.65,5677.06,Low
POL000271,58,M,Home,128791,0,0,1068.91,0.0,Low
POL000272,69,F,Health,50946,0,0,3503.35,0.0,Medium
POL000273,66,F,Auto,47107,0,0,1475.94,0.0,Medium
POL000274,79,M,Health,45564,2,0,4183.22,7828.08,High
POL000275,66,F,Life,88414,1,0,1334.21,82522.01,Medium
POL000276,75,M,Home,98496,0,0,1411.51,0.0,Medium
POL000277,69,M,Auto,93639,0,0,1646.24,0.0,Low
POL000278,29,M,Auto,68520,0,0,1043.49,0.0,Low
POL000279,79,F,Home,71985,1,0,1288.47,7547.62,Medium
POL000280,56,M,Life,53359,0,0,711.3,0.0,Low
POL000281,19,M,Auto,55907,1,0,2120.54,7115.07,High
POL000282,20,F,Auto,91765,0,0,1819.65,0.0,Medium
POL000283,66,F,Home,68332,1,0,1693.55,5842.34,High
POL000284,54,F,Home,47259,1,0,1217.19,6465.87,Low
POL000285,66,F,Auto,103742,1,0,1683.12,6354.9,Medium
POL000286,73,M,Health,44182,0,0,2919.96,0.0,Low
POL000287,34,M,Auto,64398,1,0,1524.71,1896.97,Medium
POL000288,76,M,Health,32208,0,0,3210.63,0.0,Medium
POL000289,66,F,Home,37313,3,0,1971.79,13476.43,High
POL000290,19,F,Home,60448,0,0,1529.31,0.0,Medium
POL000291,19,M,Auto,42271,0,0,1588.03,0.0,Medium
POL000292,45,F,Health,53392,1,0,2492.96,5068.73,Medium
POL000293,71,F,Auto,109824,0,0,1502.44,0.0,Medium
POL000294,40,M,Auto,56253,1,0,1322.68,9265.8,Low
POL000295,54,M,Home,93894,0,0,1052.14,0.0,Low
POL000296,49,F,Health,40523,0,0,2599.15,0.0,Low
POL000297,50,F,Auto,78782,2,0,1779.46,4143.64,High
POL000298,18,F,Auto,36312,3,0,2890.39,21156.35,High
POL000299,36,M,Health,52844,0,0,2497.44,0.0,Low
POL000300,79,M,Health,80398,0,0,3250.02,0.0,Low
POL000301,19,M,Auto,60257,0,0,1894.03,0.0,Medium
POL000302,70,M,Home,95908,0,0,1149.5,0.0,Low
POL000303,61,M,Home,83596,0,0,1149.97,0.0,Low
POL000304,43,F,Home,51318,0,0,1005.64,0.0,Low
POL000305,49,F,Life,114516,1,0,1033.13,49744.58,Medium
POL000306,23,F,Auto,74470,0,0,2052.37,0.0,Medium
POL000307,49,M,Health,53005,1,1,2945.42,29969.42,Medium
POL000308,72,M,Home,64400,1,0,1317.1,8854.14,High
POL000309,21,M,Home,62658,1,0,1762.96,9086.21,High
POL000310,72,F,Health,66223,0,0,3345.2,0.0,Medium
POL000311,28,M,Life,55777,1,0,999.82,19026.5,Medium
POL000312,73,M,Auto,72132,1,0,1550.86,3856.99,High
POL000313,76,F,Auto,88868,1,0,1775.87,14249.33,Medium
POL000314,34,M,Auto,74071,0,0,1352.2,0.0,Low
POL000315,80,F,Travel,72821,0,0,596.64,0.0,Medium
POL000316,55,M,Health,56934,1,0,2608.82,4762.35,Medium
POL000317,41,M,Home,38444,0,0,1111.18,0.0,Low
POL000318,22,F,Auto,34041,3,0,2333.01,2704.05,High
POL000319,69,F,Life,42033,0,0,1146.45,0.0,Medium
POL000320,51,F,Health,48581,0,0,2332.96,0.0,Low
POL000321,23,F,Health,138122,0,0,4267.08,0.0,Medium
POL000322,39,F,Auto,111952,0,0,1270.38,0.0,Low
POL000323,28,F,Auto,44504,0,0,1163.68,0.0,Medium
POL000324,80,M,Home,74970,1,0,1396.77,9443.59,Medium
POL000325,65,M,Health,57883,1,0,2646.64,10782.76,Medium
POL000326,33,F,Auto,67372,0,0,1265.09,0.0,Low
POL000327,50,M,Home,45510,1,0,1286.55,15749.25,Low
POL000328,26,F,Auto,183667,0,0,1291.78,0.0,Low
POL000329,77,M,Health,152093,0,0,3576.42,0.0,Medium
POL000330,76,F,Home,51724,1,0,1621.2,3134.14,High
POL000331,23,M,Auto,44437,0,0,2058.74,0.0,High
POL000332,33,M,Home,95104,0,0,1077.34,0.0,Low
POL000333,46,M,Auto,32701,1,0,1260.03,4771.09,Medium
POL000334,20,M,Auto,91397,1,0,2251.08,4386.49,Medium
POL000335,37,M,Health,63750,0,0,2366.55,0.0,Medium
POL000336,77,F,Auto,29230,0,0,1792.03,0.0,High
POL000337,76,F,Auto,55498,0,0,1502.28,0.0,Medium
POL000338,53,F,Auto,43136,0,0,1125.41,0.0,Low
POL000339,36,M,Auto,64918,1,0,1272.04,2360.49,High
POL000340,43,F,Auto,61620,0,0,1257.07,0.0,Low
POL000341,20,M,Auto,30526,0,0,1588.98,0.0,High
POL000342,80,M,Home,50661,0,0,1476.89,0.0,Medium
POL000343,36,M,Auto,79806,0,0,1125.95,0.0,Low
POL000344,37,F,Health,86981,1,0,2698.53,22197.26,Medium
POL000345,49,M,Auto,49934,0,0,1036.58,0.0,Low
POL000346,24,F,Auto,75273,0,0,1662.85,0.0,Medium
POL000347,69,F,Auto,68404,3,0,2207.02,4688.86,High
POL000348,58,M,Life,58318,0,0,768.71,0.0,Low
POL000349,50,M,Home,75503,0,0,931.91,0.0,Low
POL000350,57,F,Health,37699,1,0,2478.89,10925.01,Medium
POL000351,56,F,Auto,59903,0,0,1128.21,0.0,Low
POL000352,35,F,Health,26850,3,0,3927.68,6737.0,High
POL000353,57,F,Auto,58275,1,0,1354.66,3859.48,Low
POL000354,18,F,Auto,122089,2,0,2193.12,2445.62,High
POL000355,28,F,Home,51033,0,0,941.44,0.0,Low
POL000356,45,M,Auto,116136,0,0,1219.6,0.0,Low
POL000357,74,F,Travel,51441,1,0,562.53,3661.17,High
POL000358,42,F,Auto,34809,2,0,1621.21,10302.73,High
POL000359,67,F,Travel,83507,3,1,864.71,12437.31,High
POL000360,40,F,Home,75505,2,0,1121.06,9300.16,High
POL000361,48,M,Home,190899,1,0,1035.71,9489.21,Medium
POL000362,47,M,Auto,36693,0,0,1084.48,0.0,Medium
POL000363,59,F,Auto,71553,0,0,1180.95,0.0,Low
POL000364,52,F,Life,72840,0,0,689.94,0.0,Low
POL000365,24,F,Auto,101629,0,0,1787.86,0.0,Medium
POL000366,77,M,Health,78033,0,0,3668.2,0.0,Medium
POL000367,33,M,Travel,51842,0,0,341.39,0.0,Medium
POL000368,43,M,Auto,35047,0,0,1151.38,0.0,Low
POL000369,65,M,Home,71204,3,0,1563.49,7557.71,High
POL000370,74,M,Health,72201,0,0,2913.13,0.0,Medium
POL000371,69,M,Auto,82101,0,0,1362.3,0.0,Medium
POL000372,77,F,Auto,51807,1,0,1864.39,4781.7,Medium
POL000373,66,M,Home,68808,1,0,1275.21,6621.57,High
POL000374,19,M,Auto,27665,0,0,1962.96,0.0,High
POL000375,18,F,Health,35788,0,0,3262.71,0.0,High
POL000376,65,M,Auto,95584,0,0,1208.77,0.0,Low
POL000377,79,F,Travel,65507,0,0,557.46,0.0,Medium
POL000378,29,M,Auto,75956,0,0,1107.12,0.0,Medium
POL000379,22,F,Home,44392,1,0,1519.83,9862.61,High
POL000380,54,F,Home,41659,1,0,1038.09,11770.89,Medium
POL000381,49,F,Auto,48446,1,0,1526.84,3642.53,Medium
POL000382,76,F,Auto,67429,0,0,1656.31,0.0,Medium
POL000383,72,F,Health,84369,0,0,2955.65,0.0,Medium
POL000384,26,M,Life,52862,0,0,851.87,0.0,Medium
POL000385,58,M,Auto,26113,0,0,1275.1,0.0,Low
POL000386,52,F,Home,73168,1,0,1321.72,21140.86,Low
POL000387,36,F,Auto,68427,2,0,1509.25,3869.49,High
POL000388,65,F,Auto,76083,0,0,1331.35,0.0,Medium
POL000389,33,M,Health,91880,3,0,3566.76,7339.71,High
POL000390,20,F,Health,88325,2,0,5456.72,10793.42,High
POL000391,37,F,Auto,118232,0,0,1052.98,0.0,Low
POL000392,41,F,Travel,60730,0,0,361.04,0.0,Low
POL000393,71,F,Auto,48244,0,0,1723.78,0.0,Medium
POL000394,73,M,Health,100752,0,0,3561.32,0.0,Medium
POL000395,50,F,Home,94294,0,0,941.63,0.0,Low
POL000396,41,F,Home,53293,0,0,1029.04,0.0,Low
POL000397,69,M,Home,104082,2,0,1630.53,4680.44,High
POL000398,28,F,Auto,62147,0,0,1023.71,0.0,Low
POL000399,66,F,Health,113341,0,0,2787.95,0.0,Low
POL000400,25,M,Health,142145,1,0,2490.55,16631.64,Low
POL000401,53,M,Auto,200000,2,0,1604.03,4529.08,Low
POL000402,55,M,Health,61766,0,0,2334.42,0.0,Low
POL000403,57,F,Auto,121505,0,0,1071.82,0.0,Low
POL000404,37,F,Health,91759,1,0,3255.48,20054.54,Low
POL000405,79,M,Auto,96132,1,0,1590.19,4791.62,Medium
POL000406,52,M,Auto,74029,4,0,2020.21,4682.84,High
POL000407,65,M,Auto,96331,0,0,1341.9,0.0,Low
POL000408,79,F,Home,30120,1,0,1344.23,6012.23,High
POL000409,42,F,Home,59016,0,0,914.42,0.0,Low
POL000410,52,M,Auto,43185,2,0,1594.54,8919.29,Medium
POL000411,42,F,Auto,41416,0,0,1203.04,0.0,Low
POL000412,46,M,Auto,29209,0,0,1207.57,0.0,Low
POL000413,35,F,Health,46011,0,0,2541.01,0.0,Low
POL000414,63,F,Health,54881,0,0,2837.43,0.0,Low
POL000415,35,F,Auto,65654,0,0,1039.38,0.0,Medium
POL000416,19,F,Auto,59503,0,0,1940.64,0.0,Medium
POL000417,71,M,Health,101333,0,0,2989.19,0.0,Low
POL000418,52,F,Auto,38253,0,0,1154.52,0.0,Medium
POL000419,33,F,Auto,22655,1,0,1209.97,4217.08,High
POL000420,78,M,Auto,78098,0,0,1534.55,0.0,Medium
POL000421,58,F,Home,58491,1,0,1254.96,9627.34,Low
POL000422,53,M,Home,57887,1,0,1011.57,16638.32,Medium
POL000423,50,M,Home,41923,0,0,932.68,0.0,Low
POL000424,21,F,Auto,94331,0,0,1731.45,0.0,Medium
POL000425,50,F,Health,48555,1,0,2533.36,11283.94,Medium
POL000426,31,M,Auto,38492,0,0,1294.43,0.0,Medium
POL000427,38,M,Health,138293,0,0,2715.21,0.0,Low
POL000428,65,M,Home,84608,0,0,1100.77,0.0,Low
POL000429,37,F,Home,58683,0,0,1025.17,0.0,Medium
POL000430,73,M,Auto,20000,0,0,1563.39,0.0,Medium
POL000431,25,M,Auto,53225,4,0,1783.23,4662.54,High
POL000432,24,M,Home,59230,2,0,2040.77,6808.76,High
POL000433,20,F,Home,124472,2,0,1917.57,9138.31,High
POL000434,34,M,Auto,24959,0,0,1369.48,0.0,Medium
